,Año,Trim,Prov,Accesx100hog,BandaAncha,BandaAngos,Total,ADSL,Cablemodem,FibraOpt,Wireless,Otros_Tec,MediaMbps,AR1_0.51Mbs,AR2_0.75Mbs,AR3_3.5Mbs,AR4_8Mbs,AR5_15Mbs,AR6_25Mbs,AR7_+30Mbs,Otros_Mbs
60,2022,1,Mendoza,48.74,274399,786,275185,49464.0,74145.0,123228.0,26969.0,1379.0,26,114,3355,51230,26407,74178,21566,95048,3287
61,2022,1,Misiones,49.04,171508,0,171508,39147.0,91752.0,25178.0,7807.0,7624.0,42,51,3873,35655,22261,26855,15854,58610,8349
62,2022,1,Neuquén,74.17,149208,471,149679,28443.0,73200.0,24193.0,23098.0,745.0,43,137,1123,39856,15623,11163,2654,71238,7885
63,2022,1,Río Negro,67.04,156821,553,157374,38662.0,45366.0,38037.0,16815.0,18494.0,31,116,1383,35565,18859,26926,14144,37729,22652
64,2022,1,Salta,56.11,197510,5,197515,44714.0,98667.0,40994.0,5950.0,7190.0,37,114,1725,35576,68246,6313,2214,76838,6489
65,2022,1,San Juan,43.55,87888,290,88178,34038.0,14449.0,11294.0,20723.0,7674.0,12,26,2269,32356,11914,25144,2088,11916,2465
66,2022,1,San Luis,80.72,119659,185,119844,7987.0,11296.0,31.0,71809.0,28721.0,21,61,643,8287,3837,9802,68612,13,28589
67,2022,1,Santa Cruz,43.34,48898,204,49102,10537.0,23420.0,10766.0,3974.0,405.0,11,51,6898,12710,11502,12277,2628,2551,485
68,2022,1,Santa Fe,77.3,870364,115,870479,213486.0,444609.0,146552.0,45261.0,20571.0,39,468,12435,143796,208361,84787,58018,344170,18444
69,2022,1,Santiago Del Estero,47.17,116459,2,116461,18118.0,87979.0,1093.0,6349.0,2922.0,14,178,1401,30220,61170,13542,849,8309,792
70,2022,1,Tierra Del Fuego,98.29,52298,313,52611,13031.0,38700.0,416.0,124.0,340.0,11,24,894,12849,15640,18034,1767,982,2421
71,2022,1,Tucumán,57.39,245554,30,245584,92532.0,62396.0,86174.0,3995.0,487.0,47,39,2212,36028,46961,21014,5211,133846,273
72,2021,4,Buenos Aires,75.66,4502772,6385,4509157,426325.0,2706506.0,1176024.0,126887.0,73415.0,60,37821,11026,352950,331292,297296,196021,3259793,22958
73,2021,4,Capital Federal,111.27,1409935,2184,1412119,111360.0,1205128.0,60005.0,5679.0,29947.0,83,563,1695,47133,81899,66135,66755,1147939,0
